(index -> (radius,density,mass within (shells),gravitational acceleration (shells),density slope,mass within (linear),gravitational acceleration (linear)
"radius[unit=""m""]","density[unit=""kg/m^3""]",mass[unit=”kg”],acceleration[unit=”m/s^2”],slope[unit=””],mass[unit=”kg”],acceleration[unit=”m/s^2”]
797189,12950.12,2.76029040186548E+022,-2.89893117063251,-0.000344559383993037,2.75993264329735E+022,-2.89855544296848
810047,12945.62,2.89542472007535E+022,-2.94508318210748,-0.000349976668222119,2.89504335757093E+022,-2.94469527898216
822905,12941.05,3.03486940405706E+022,-2.99120603760103,-0.000355420749727915,3.0344632993088E+022,-2.99080577557549
835763,12936.41,3.17868978700142E+022,-3.03729929245999,-0.000360864831233428,3.17825776568328E+022,-3.03688648777258
848621,12931.69,3.32695105704573E+022,-3.08336250140835,-0.000367086638668482,3.32649185065679E+022,-3.08293691662042
861479,12926.9,3.47971813689603E+022,-3.12939511236197,-0.000372530720174279,3.47923049562291E+022,-3.1289565647105
874337,12922.04,3.63705591069176E+022,-3.17539668201452,-0.000377974801679792,3.63653854699298E+022,-3.17494498838845
887195,12917.11,3.79902911062681E+022,-3.22136676636686,-0.000383418883185588,3.79848069867179E+022,-3.2209017433321
900053,12912.11,3.96570231470558E+022,-3.26730492078598,-0.000388862964691243,3.96512148981369E+022,-3.26682638460832
912911,12907.03,4.1371399444991E+022,-3.31321070005819,-0.000395084772126297,4.13652523587838E+022,-3.3127184133077
925768,12901.88,4.31339222549699E+022,-3.35907998358719,-0.000400560006222405,4.31274218998149E+022,-3.35857376454319
938626,12896.66,4.49455066499037E+022,-3.40491946336917,-0.000405972935137607,4.49386381333546E+022,-3.40439912780227
951484,12891.37,4.68066567655712E+022,-3.45072512858928,-0.000411417016643261,4.67994048111971E+022,-3.45019049307119
964342,12886.01,4.87180102558786E+022,-3.4964965346293,-0.000416861098149058,4.87103591704316E+022,-3.49594741545117
977200,12880.57,5.06802030965994E+022,-3.54223323632729,-0.000423082905584112,5.06721359996782E+022,-3.54166939606839
990058,12875.07,5.26938679996001E+022,-3.58793468157195,-0.000427749261160367,5.2685369112221E+022,-3.58735599084493
1002916,12869.49,5.47596390392681E+022,-3.63360053337839,-0.000433971068595421,5.47506905783871E+022,-3.63300675422278
1015774,12863.83,5.68781453756631E+022,-3.67923023857303,-0.000440192876030476,5.68687290772182E+022,-3.67862113414909
1028632,12858.11,5.90500142743339E+022,-3.72482324618896,-0.000444859231606731,5.90401130822668E+022,-3.72419868765448
1041489,12852.31,6.12756992772193E+022,-3.77037567637347,-0.000451116123512568,6.12652940288828E+022,-3.76973542753589
1054347,12846.45,6.35561701359703E+022,-3.81589406308973,-0.00045574739461804,6.35452428719145E+022,-3.81523799331794
1067205,12840.51,6.5891881126695E+022,-3.86137452733427,-0.000461969202053236,6.58804116824984E+022,-3.86070239870619
1080063,12834.5,6.82834520374165E+022,-3.90681651597706,-0.000467413283558891,6.82714206716305E+022,-3.90612814511765
1092921,12828.41,7.07315025472337E+022,-3.95221958454169,-0.000473635090993945,7.07188880874994E+022,-3.95151473432623
1105779,12822.26,7.32366484767041E+022,-3.99758318146959,-0.0004783014465702,7.32234311865265E+022,-3.99686172277346
1118637,12816.03,7.57995075778907E+022,-4.04290697035495,-0.000484523254005255,7.57856652754147E+022,-4.04216866554329
1131495,12809.73,7.84206916996103E+022,-4.08819039862129,-0.000489967335511051,7.84062026926477E+022,-4.0874350645651
1144353,12803.36,8.11008126688397E+022,-4.13343302227868,-0.000495411417016564,8.10856547690467E+022,-4.13266047559892
1157211,12796.91,8.38404803154654E+022,-4.17863439684288,-0.00050163322445176,8.38246297588465E+022,-4.17784440040145
1170068,12790.4,8.66400801023932E+022,-4.2237904574517,-0.000506338959321787,8.66235148217596E+022,-4.22298288347228
1182926,12783.81,8.95006553935845E+022,-4.26890789211409,-0.000512521387463069,8.94833505009872E+022,-4.26808250159314
1195784,12777.15,9.24225922594723E+022,-4.31398263717541,-0.000517965468968724,9.24045235012545E+022,-4.31313924696831
1208642,12770.42,9.54064922173633E+022,-4.3590142486117,-0.000523409550474379,9.53876348153965E+022,-4.35815267533766
1221500,12763.61,9.84529546736747E+022,-4.40400228193232,-0.000529631357909433,9.84332821227614E+022,-4.40312228844303
1221500,12166.33,9.84529546736747E+022,-4.40400228193232,#DIV/0!,9.84332821227614E+022,-4.40312228844303
1234332,12159.72,1.01411001714062E+023,-4.44249369237127,-0.000515118453865382,1.01390522806575E+023,-4.44159657651799
1247165,12153.05,1.04429792544572E+023,-4.48107600291645,-0.000519753759837924,1.04408482830381E+023,-4.48016160438549
1259997,12146.32,1.0750941937019E+023,-4.51973755744511,-0.000524470074812934,1.07487254043352E+023,-4.51880571853491
1272830,12139.54,1.10650922929469E+023,-4.5584790017476,-0.000528325411049547,1.10627877857235E+023,-4.55752961537928
1285662,12132.7,1.13854374939104E+023,-4.59728927293046,-0.000533042394014974,1.13830424359924E+023,-4.59632218017882
1298494,12125.8,1.17120574434626E+023,-4.63616648401335,-0.000537718204488892,1.17095692019073E+023,-4.63518152452536
1311327,12118.85,1.20450338106091E+023,-4.67510899436789,-0.000541572508376756,1.20424498321996E+023,-4.67410605980636
1324159,12111.84,1.23843702453779E+023,-4.71410636772155,-0.00054629052369079,1.23816878059076E+023,-4.71308529803955
1336991,12104.78,1.27301475022154E+023,-4.75315735308872,-0.000550187032418913,1.27273639618827E+023,-4.75211804029227
1349824,12097.65,1.30824484394944E+023,-4.79226101287243,-0.000555598846723371,1.30795608120156E+023,-4.79120323957789
1362656,12090.47,1.34412725099297E+023,-4.83140722162259,-0.000559538653366606,1.34382780649233E+023,-4.83033088132685
1375489,12083.23,1.38067303776663E+023,-4.87059842859719,-0.000564170497934994,1.38036261692651E+023,-4.86950335741474
1388321,12075.93,1.41788193115955E+023,-4.90982492062337,-0.000568890274314158,1.41756023578187E+023,-4.90871095764276
